date,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_target,away_shots_target
2021-04-10,2021,Werder Bremen,RB Leipzig,1,4,A,11.0,8.0,2.0,4.0
2021-04-10,2021,Hertha,M'gladbach,2,2,D,24.0,7.0,8.0,4.0
2021-04-10,2021,Ein Frankfurt,Wolfsburg,4,3,H,9.0,20.0,5.0,7.0
2021-04-10,2021,Bayern Munich,Union Berlin,1,1,D,14.0,6.0,2.0,2.0
2021-04-11,2021,Schalke 04,Augsburg,1,0,H,7.0,13.0,2.0,4.0
2021-04-11,2021,FC Koln,Mainz,2,3,A,22.0,9.0,4.0,6.0
2021-04-12,2021,Hoffenheim,Leverkusen,0,0,D,2.0,7.0,0.0,5.0
2021-04-16,2021,RB Leipzig,Hoffenheim,0,0,D,14.0,6.0,2.0,0.0
2021-04-17,2021,Wolfsburg,Bayern Munich,2,3,A,7.0,14.0,3.0,9.0
2021-04-17,2021,Union Berlin,Stuttgart,2,1,H,9.0,9.0,4.0,2.0
2021-04-17,2021,Leverkusen,FC Koln,3,0,H,8.0,14.0,5.0,2.0
2021-04-17,2021,Freiburg,Schalke 04,4,0,H,13.0,4.0,8.0,2.0
2021-04-17,2021,Augsburg,Bielefeld,0,0,D,9.0,8.0,3.0,1.0
2021-04-17,2021,M'gladbach,Ein Frankfurt,4,0,H,19.0,16.0,4.0,5.0
2021-04-18,2021,Dortmund,Werder Bremen,4,1,H,19.0,10.0,9.0,3.0
2021-04-20,2021,FC Koln,RB Leipzig,2,1,H,5.0,23.0,3.0,6.0
2021-04-20,2021,Bayern Munich,Leverkusen,2,0,H,26.0,6.0,9.0,3.0
2021-04-20,2021,Bielefeld,Schalke 04,1,0,H,10.0,3.0,5.0,0.0
2021-04-20,2021,Ein Frankfurt,Augsburg,2,0,H,12.0,14.0,4.0,4.0
2021-04-21,2021,Dortmund,Union Berlin,2,0,H,21.0,6.0,11.0,2.0
2021-04-21,2021,Hoffenheim,M'gladbach,3,2,H,19.0,5.0,6.0,3.0
2021-04-21,2021,Stuttgart,Wolfsburg,1,3,A,11.0,13.0,4.0,4.0
2021-04-21,2021,Werder Bremen,Mainz,0,1,A,18.0,13.0,4.0,5.0
2021-04-23,2021,Augsburg,FC Koln,2,3,A,13.0,14.0,5.0,6.0
2021-04-24,2021,Wolfsburg,Dortmund,0,2,A,21.0,8.0,2.0,4.0
2021-04-24,2021,Union Berlin,Werder Bremen,3,1,H,17.0,9.0,6.0,5.0
2021-04-24,2021,Leverkusen,Ein Frankfurt,3,1,H,18.0,12.0,10.0,4.0
2021-04-24,2021,Freiburg,Hoffenheim,1,1,D,15.0,16.0,7.0,4.0
2021-04-24,2021,Mainz,Bayern Munich,2,1,H,8.0,17.0,4.0,4.0
2021-04-25,2021,M'gladbach,Bielefeld,5,0,H,20.0,10.0,12.0,5.0
2021-04-25,2021,RB Leipzig,Stuttgart,2,0,H,24.0,2.0,11.0,0.0
2021-05-03,2021,Mainz,Hertha,1,1,D,16.0,7.0,9.0,5.0
2021-05-06,2021,Hertha,Freiburg,3,0,H,13.0,15.0,6.0,4.0
2021-05-07,2021,Stuttgart,Augsburg,2,1,H,14.0,20.0,6.0,9.0
2021-05-08,2021,Dortmund,RB Leipzig,3,2,H,15.0,14.0,4.0,7.0
2021-05-08,2021,Hoffenheim,Schalke 04,4,2,H,20.0,6.0,12.0,3.0
2021-05-08,2021,Werder Bremen,Leverkusen,0,0,D,13.0,14.0,2.0,4.0
2021-05-08,2021,Wolfsburg,Union Berlin,3,0,H,17.0,9.0,8.0,1.0
2021-05-08,2021,Bayern Munich,M'gladbach,6,0,H,22.0,14.0,7.0,2.0
2021-05-09,2021,FC Koln,Freiburg,1,4,A,18.0,11.0,2.0,6.0
2021-05-09,2021,Ein Frankfurt,Mainz,1,1,D,14.0,6.0,4.0,3.0
2021-05-09,2021,Hertha,Bielefeld,0,0,D,11.0,12.0,4.0,5.0
